scope,domain,outcome,perturbation,flip_rate_A_to_R,flip_rate_A_to_R_ci_low,flip_rate_A_to_R_ci_high,topk_instability,topk_instability_ci_low,topk_instability_ci_high,N,K
overall,ALL,AR,bibliometrics_HP_to_LP,0.28125,0.11764705882352941,0.5333333333333333,0.004296875,0.0015625,0.007421875,80.0,8.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.3055555555555556,0.125,0.5666666666666667,0.004166666666666668,0.0013888888888888896,0.00729166666666667,80.0,9.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.325,0.1457589285714286,0.5789473684210527,0.004374999999999999,0.0018749999999999995,0.007499999999999998,80.0,10.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.36363636363636365,0.1875,0.5882730015082951,0.004829545454545456,0.0022727272727272735,0.007670454545454548,80.0,11.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.3541666666666667,0.171875,0.5833726415094335,0.004687500000000002,0.002083333333333334,0.007812500000000003,80.0,12.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.36538461538461536,0.17647058823529413,0.5909322820037103,0.00504807692307692,0.002163461538461537,0.008653846153846147,80.0,13.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.39285714285714285,0.2,0.6153846153846154,0.005803571428571426,0.0026785714285714273,0.009374999999999996,80.0,14.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.35,0.17304687500000002,0.5517468239564425,0.004999999999999999,0.002083333333333333,0.008333333333333331,80.0,15.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.25,0.10388490819525303,0.43104293441514524,0.003515625,0.0013671875,0.005859375,80.0,16.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.2647058823529412,0.12790079168728352,0.4426288056206088,0.00386029411764706,0.0018382352941176475,0.006250000000000001,80.0,17.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.2222222222222222,0.0985857769568229,0.38461538461538464,0.0031250000000000015,0.0013888888888888896,0.005208333333333336,80.0,18.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.23684210526315788,0.11339719898852363,0.39287177985948457,0.0032894736842105296,0.0016447368421052648,0.005263157894736847,80.0,19.0
overall,ALL,AR,bibliometrics_HP_to_LP,0.25,0.12280287984111221,0.41538961038961036,0.003593750000000003,0.0018750000000000017,0.005625000000000005,80.0,20.0
domain,BIO,QI,group_BF_to_WM,0.0625,0.0,0.2,0.003125,0.0,0.009375,20.0,4.0
domain,BIO,QI,group_BF_to_WM,0.25,0.07692307692307693,0.6363636363636364,0.017499999999999995,0.004999999999999999,0.029999999999999992,20.0,5.0
domain,BIO,QI,group_BF_to_WM,0.16666666666666666,0.04,0.4,0.014583333333333332,0.004166666666666666,0.027083333333333327,20.0,6.0
domain,BIO,QI,group_BF_to_WM,0.14285714285714285,0.0,0.35294117647058826,0.01428571428571429,0.0017857142857142863,0.02857142857142858,20.0,7.0
domain,BIO,QI,group_BF_to_WM,0.125,0.02857142857142857,0.2692307692307692,0.009375,0.0015625,0.01875,20.0,8.0
domain,BIO,QI,institution_HI_to_LI,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0
domain,BIO,QI,institution_HI_to_LI,0.1,0.0,0.3333333333333333,0.014999999999999996,0.004999999999999999,0.02749999999999999,20.0,5.0
domain,BIO,QI,institution_HI_to_LI,0.16666666666666666,0.0,0.3888888888888889,0.014583333333333332,0.004166666666666666,0.029166666666666657,20.0,6.0
domain,BIO,QI,institution_HI_to_LI,0.21428571428571427,0.047619047619047616,0.421103238866396,0.01428571428571429,0.0035714285714285726,0.026785714285714295,20.0,7.0
domain,BIO,QI,institution_HI_to_LI,0.25,0.0967741935483871,0.4616071428571419,0.01875,0.0078125,0.03125,20.0,8.0
domain,BIO,QI,bibliometrics_HP_to_LP,0.0625,0.0,0.3333333333333333,0.00625,0.0,0.015625,20.0,4.0
domain,BIO,QI,bibliometrics_HP_to_LP,0.1,0.0,0.3,0.004999999999999999,0.0,0.012499999999999997,20.0,5.0
